band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,685345300.0,600102800.0,777057660.0,22.934788,19.235014,27.796648,57630782.0,0.0119489721788022,0.1,-0.3,0.0005102990863961,25.0,629542464.0,0.000178894519695685,0.011074305514047311,0.14,-0.7,139.89443831623828,50.0,15828
5,1722705000.0,1591182800.0,1859326200.0,7.157872,6.275865,8.109446,57630782.0,0.0345316970623219,0.2,-0.5,94153.12592592592,350.0,1423595264.0,0.000178894519695685,0.03353333777999273,0.2,-0.51,97743.84099607464,350.0,1666
8,1587770500.0,1481832700.0,1696844200.0,4.967281,4.376217,5.5812244,57630782.0,0.0250743891054304,0.2,-0.1,28639.43896103891,0.0,1587770496.0,0.000178894519695685,0.02467667306456825,0.2,-0.09,27837.21676591157,0.0,2965
11,1426515700.0,1339538600.0,1514951400.0,3.7511883,3.390669,4.1296124,57630782.0,0.0291205905795174,0.2,-0.2,34511.998536310595,0.0,1426515712.0,0.000178894519695685,0.027830835635987095,0.2,-0.16,30622.191423885528,0.0,2500
14,412175840.0,378302180.0,447193000.0,8.583132,7.6269264,9.593696,57630782.0,0.0194735245867306,0.2,-0.6,39342.33991193991,25.0,412175840.0,0.000178894519695685,0.018965057040594258,0.2,-0.61,41855.5759230307,0.0,5275
18,86717760.0,79598650.0,94353630.0,8.918146,7.10315,11.227145,57630782.0,0.0197495090780511,0.2,-0.3,2867.6507936507896,0.0,86717760.0,0.000178894519695685,0.017402812327522874,0.24,-0.5,64785.16078826968,0.0,5934
21,33455996.0,30343294.0,36849320.0,12.01246,8.990017,16.473372,57630782.0,0.0185532094719766,0.2,-0.5,2212.698148148148,0.0,33455996.0,0.000178894519695685,0.015124080317110614,0.25,-0.7,77211.0861248966,0.0,7914
24,16420737.0,14200010.0,18883574.0,28.807974,22.504501,36.28196,57630782.0,0.0069449907484421,0.2,-0.9,6516.165476190474,0.0,15385741.0,0.000178894519695685,0.005234996303480455,0.24,-1.0,86403.29679835518,25.0,71229
27,7189806.5,6030759.5,8472875.0,41.60532,32.73219,52.25507,57630782.0,0.0095705116874689,0.2,-1.0,3162.668797868798,250.0,4609528.5,0.000178894519695685,0.008397886416175782,0.24,-1.1,45965.13432974693,225.0,26709
31,202667.61,162226.9,261127.5,83.1609,41.32188,242.0854,57630782.0,0.0264846534162078,0.3,-1.2,10428.289397095834,350.0,110899.734375,0.000178894519695685,0.020458884877225803,0.4,-1.26,75149.93670674333,250.0,4449
