band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,347101015135913.7,307004323188178.06,392626234518454.1,4.682967940080222,2.4272919311223267,7.1102645167454215,1440.0,0.0102572620707015,0.1,9.9,6.37600742268717e-07,0.0,347101015135913.7,0.0356711674760886,0.0102572620707015,0.1,9.9,6.37600742268717e-07,0.0,18451,1000000.0,0.415818,5.8025099999999995e-226,1000000.0,0.382393,7.291739999999998e-190,1000000.0,0.359485,3.885499999999998e-167,0.99779159
5,749648643352302.9,664290275797501.6,841729103106046.0,19.090234838062685,15.557094271445676,23.155530408172886,14400.0,0.0119619760418393,0.1,3.9,0.0009025935226898,200.0,439772649196604.06,0.0113058468964689,0.0117161780557609,0.09,4.2,1.818756186017883e-06,175.0,13668,1000000.0,0.412423,0.0,1000000.0,0.375564,0.0,1000000.0,0.352241,0.0,0.038079751
8,165212139930533.1,142419828879558.78,191240819544404.1,30.52410510630524,19.426857489566025,43.95952872037053,27360.0,0.0101736843518584,0.1,5.9,9.85740611748155e-06,350.0,84703937719222.22,0.0082044517593134,0.0101128986888533,0.1,6.2,6.592157386208025e-06,375.0,17313,1000000.0,0.352925,0.0,1000000.0,0.308841,0.0,1000000.0,0.284801,0.0,0.0073730009
11,13141870334914.545,10570653338108.512,17738260937741.96,111.42256713951222,10.987137105810296,308.56847528943933,56160.0,0.0034950344961767,0.2,8.8,20855.908599859293,200.0,9125126942031.902,0.0057278566449346,0.0034950344961767,0.2,8.8,20855.908599859293,200.0,159924,1000000.0,0.216144,0.0,1000000.0,0.172601,0.0,1000000.0,0.147505,0.0,0.49782338
14,337013694688144.0,306799283605889.25,370366327165270.9,11.28922203669864,7.852461057517611,16.68834000499762,112320.0,0.0243942828900457,0.1,0.7,2.09396631875267,0.0,337013694688144.0,0.004050824017412,0.0233630293250375,0.12,0.3,9235.980136519636,0.0,3510,1000000.0,0.293248,0.0,1000000.0,0.251568,0.0,1000000.0,0.227796,0.0,1.0881048e-53
17,435378903439939.0,411184906059405.3,461346312477422.8,3.0236824467437167,1.97076810843574,6.354830247433939,901440.0,0.0048452604093311,0.1,9.9,7.997611643191152e-07,0.0,435378903439939.0,0.0014302327594031,0.0048452604093311,0.1,9.9,7.997611643191152e-07,0.0,80217,1000000.0,0.424937,0.0,1000000.0,0.392252,0.0,1000000.0,0.369478,0.0,8.276529400000001e-19
20,24686943957756.82,23105738471320.023,26509133327662.4,5.047178168816293,2.628409548347693,12.331468331297607,1802880.0,0.0011379683599328,0.1,12.0,8.589648847754541e-09,25.0,23921949146262.355,0.0010113656230693,0.0011379683599328,0.1,12.0,8.589648847754541e-09,25.0,1443930,1000000.0,0.28378,0.0,1000000.0,0.236967,0.0,1000000.0,0.212709,0.0,0.018742348
23,4746586825058.915,4384590902077.05,5597280496624.657,19.78638476798911,2.398675866798309,124.5106107280846,14423040.0,0.0010963265368341,0.2,5.7,56616.08614187958,50.0,4470460513205.509,0.0003575928886806,0.0010963265368341,0.2,5.7,56616.08614187958,50.0,1521180,1000000.0,0.131462,0.0,1000000.0,0.0949754,0.0,1000000.0,0.0679059,0.0,1.7509695e-15
26,269802234005.4589,253896927726.65103,287069455175.46735,3.716592349753572,2.597031256628729,6.261628678007692,7211520.0,0.0005972760233075,0.2,3.6,17268.71083093431,0.0,269802234005.45895,0.000505705940851,0.0003723653667564,0.21,3.4,57475.4721589303,0.0,13690620,432860.0,0.0220204,0.0,380405.0,0.0086917,0.0,304982.0,0.0113845,0.0,0.26997588
30,26489577092.37509,24512264313.19482,28679401673.68946,7.253046923464099,4.9542090851515965,13.815165652674722,14423040.0,0.0017687130261023,0.1,4.8,1.3613679370611857e-08,0.0,26489577092.37509,0.0003575928886806,0.0017687130261023,0.1,4.8,1.3613679370611857e-08,0.0,570442,119472.0,0.0312041,0.0,103747.0,0.00645458,0.0,84995.5,0.00513564,0.0,1.2869491e-39
