band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,0.0211986953245485,0.0164467939404367,0.0271127742349609,92.13133001876402,51.45748964158467,143.83100473568777,198372.0,0.0027307938161315326,0.4,-0.8,0.0012552117434388088,200.0,0.011315373939875473,0.0030483951315025473
3,0.2486494513597808,0.2073917343120201,0.2943941605243858,44.30205747856792,35.84545084294338,53.759957741823875,220862.0,0.01412219134811743,0.1,-0.5,4.4479396243645843e-13,250.0,0.14910440427090288,0.0028890643950308242
5,2.0580447091691987,1.886688986925106,2.234813630209884,8.818754175915334,7.701917528067509,10.044228161278095,2187988.0,0.009771306904462485,0.7,-1.2,4.025653677824609,150.0,1.8454627882350303,0.0009180636587846647
6,1.4364257361740542,1.312349503208508,1.5644951095893451,9.662535573200518,8.566507500931767,10.81869601751342,1105198.0,0.008830625303391355,0.4,-1.1,0.43222210020763685,0.0,1.4364257361740542,0.0012916966556503072
8,0.1598494570442401,0.1379743849066381,0.1853156666146895,31.218486977372805,19.869817093830942,45.31472462942608,7163472.0,0.0041434842343816,0.5,-1.1,0.09259120765187794,75.0,0.1333313390187042,0.0005073990051987327
9,0.0395591380317561,0.0350559503423313,0.0452564458200031,22.18556123719124,11.391509131362586,58.42711304668513,10748378.0,0.003096361439338391,0.5,-1.1,0.027471623633164,0.0,0.039559138031756154,0.00041423194497243145
11,0.0103605681629668,0.0082926673955243,0.0131294286209067,77.08139673614532,36.77996298329754,185.36384278149583,13620622.0,0.00590320892882229,0.2,-0.9,3.285258078306072e-06,50.0,0.008278850357331306,0.0003679750725827536
12,0.0039283662835019,0.0029276757953449,0.0055303097237355,155.88724086670018,53.96750524684497,425.9683504080767,44855454.0,0.0038563614569139537,0.1,-0.3,2.469479143683026e-15,25.0,0.003160774814718429,0.00020277561489078264
14,0.0003165760706997,0.0002124604692681,0.0006929797655294,861.834573623724,55.86683986716541,2194.1946190741032,25254822.0,0.004827496200845827,0.1,0.0,2.2108724163286153e-17,150.0,0.0001573479174993504,0.0002702393272564491
16,6.500299225605709e-05,3.5090470330189025e-05,0.000146804720208,1082.288531212891,138.95260559784262,2712.8775565478986,16514624.0,0.006352057504936859,0.1,0.1,9.528933197640995e-19,350.0,1.1302912096039419e-05,0.00033418261380715526
