band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0,best_r,best_eta,best_scale,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05
2,1292.9467,749.10767,2108.4307,421.84155,123.97443,696.23804,45000.0,0.04,3.1,3.420114219481384e-50,0.0271143352162324,0.0063984224173442,5.8,0.0236716766293063,0.4023437757938729,0.04,3.09,3.593386630351524e-50,0.026982827819666544,0.04,3.09,0.026982827819666544,2667
5,662.6544,382.08975,1248.6178,628.03,108.21224,1663.2395,117000.0,0.04,2.9,4.800839901869193e-50,0.0270040782054054,0.0039690102483117,5.8,0.0236716766293063,0.4211323431618615,0.039,2.97,7.983361543726537e-52,0.02603235287287138,0.039,2.97,0.02603235287287138,2742
8,256.6339,133.79204,650.8456,1363.7307,99.3656,3639.2358,189000.0,0.04,3.2,4.163415590872952e-51,0.0297878139581321,0.0031230403979095,5.8,0.0236716766293063,0.4423644166818905,0.039,3.28,6.481565575243071e-53,0.029057416070884967,0.039,3.28,0.029057416070884967,2214
11,121.96157,57.215298,390.19293,2698.3176,93.68093,4889.278,495000.0,0.04,3.3,1.2249535826844186e-51,0.0282972114247094,0.0019299803152697,5.8,0.0236716766293063,0.4554409360206423,0.04,3.29,1.2845889776563546e-51,0.028162726453855105,0.04,3.29,0.028162726453855105,2443
14,48.46801,23.179575,151.67955,2654.2952,86.30504,4711.6294,1134000.0,0.04,3.7,7.803310619650071e-53,0.0262632436599673,0.0012751894232635,5.8,0.0236716766293063,0.4667551107706831,0.04,3.71,7.466743525728285e-53,0.026131790861393167,0.04,3.71,0.026131790861393167,2800
17,28.90038,10.379934,164.69775,12164.642,72.317085,7907.98,2574000.0,0.04,3.3,2.902686807159101e-52,0.0301621814099087,0.0008464353782179,5.8,0.0236716766293063,0.474332434139997,0.04,3.32,2.6401512233307664e-52,0.02961818619596502,0.04,3.32,0.02961818619596502,2119
20,13.782273,5.6929874,61.2636,5707.6304,75.890045,6510.244,5967000.0,0.04,3.4,8.647863083750613e-53,0.0278500218451329,0.0005559445407404,5.8,0.0236716766293063,0.4788499954959573,0.04,3.43,7.522472230850714e-53,0.02716743728991944,0.04,3.43,0.02716743728991944,2457
23,6.417106,2.075519,40.68718,14689.195,66.17716,8234.636,13887000.0,0.04,2.9,4.649104954154717e-52,0.0294157550839471,0.0003644288842482,5.8,0.0236716766293063,0.4844792891730388,0.039,2.96,8.143891031971877e-54,0.028340997865666323,0.039,2.96,0.028340997865666323,2410
26,4.0182343,0.58495307,41.423286,32939.27,74.59863,9373.831,31968000.0,0.03,2.5,1.3998039823971474e-72,0.0364672748632579,0.0002401951053511,5.8,0.0236716766293063,0.4894754776006274,0.03,2.52,1.2061136196883547e-72,0.03569721913964058,0.03,2.52,0.03569721913964058,1462
29,0.41692203,0.07470128,3.3163257,27951.705,85.44221,9154.597,73701000.0,0.03,2.4,3.0896393750405594e-73,0.0344328271548135,0.0001581934199511,5.8,0.0236716766293063,0.4945770942770173,0.03,2.44,2.2797300348067993e-73,0.03277345238690753,0.03,2.44,0.03277345238690753,1686
32,0.013910068,0.0078334445,0.032692194,1185.7649,81.10659,2850.0388,59634000.0,0.04,3.2,2.2566540890078407e-55,0.0275400967894456,0.0001758642001808,5.8,0.0236716766293063,0.4973839997796174,0.04,3.2,2.256654089007841e-55,0.02754009678944569,0.04,3.2,0.02754009678944569,2301
