band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,400631716371793.0,359302810197807.44,446214562556384.3,8.316573902865628,5.7575187335949405,10.650913365884168,2880.0,0.006903771906855594,0.1,14.0,2.8723525601269485e-08,25.0,305590768889036.6,0.0252480482623505
5,946126933927359.0,832220394094179.8,1067497895547224.8,21.399463180406244,18.4528611384096,24.572022472496712,8640.0,0.014008709408128761,0.1,3.3,0.002802385932280854,150.0,439141000768260.3,0.01459137933055801
8,193453683221031.5,166965018617860.9,223524363416121.7,30.00240379524574,21.744311263613465,39.76915086625411,24480.0,0.01048540255362897,0.1,5.0,3.577608627076081e-05,350.0,93266653146143.52,0.008673278735837538
11,14384255303088.066,11623886054453.22,19145267724398.2,100.20285300843204,14.093920822436,274.10471472705626,67680.0,0.0038803773181831777,0.2,8.5,25384.95898421373,250.0,9633622396459.65,0.005217899025411498
14,412631882902065.4,376327517331203.0,452412413494826.2,10.744118748535008,7.456208103428094,16.71503823137049,100000.0,0.01868087733407224,0.1,1.3,0.32644400653081956,0.0,412631882902065.4,0.004293014618329405
17,388122981379094.4,365742185238809.4,412202092278038.6,3.3749157728985733,2.279852659636252,6.281313864563966,100000.0,0.002003152511192069,0.1,10.0,6.554588853506828e-07,0.0,388122981379094.44,0.004293014618329405
20,73427182295489.95,67160777314396.06,81680621765748.84,11.901692634445322,5.121551915734878,40.059997151402456,100000.0,0.0023226763344751065,0.1,8.0,6.954831661238118e-07,100.0,65872868398802.54,0.004293014618329405
23,11116873638858.572,10438272332158.877,11901477634706.352,4.427513188243492,2.454237738122182,12.285350605596475,100000.0,0.0008036548109976449,0.1,12.0,3.88589730195513e-09,25.0,10822123149919.742,0.004293014618329405
26,3114393648514.945,2886461862881.734,3378224171997.241,7.238748415729535,4.201064730921425,17.51876219916927,100000.0,0.0006164542568853904,0.1,6.3,2.1452057124047437e-07,0.0,3114393648514.945,0.004293014618329405
29,65762145352.27044,61012672116.886986,71195392453.61052,6.770874511662678,4.171933015089947,17.270430897107605,100000.0,0.0021862026414314617,0.2,1.6,40730.143658001485,0.0,65762145352.27044,0.004293014618329405
