band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,685342700.0,600086460.0,777038300.0,22.935051,19.237541,27.800936,57630782.0,0.0119510022329522,0.1,-0.3,0.0005102962862557,25.0,629541632.0,0.0001788945196956,0.0110805767933402,0.14,-0.7,139.89425343248644,50.0,15828,5524.86,0.0802577,0.0,4993.31,0.0574525,0.0,3724.36,0.0529789,0.0,0.0
5,1721802200.0,1590355600.0,1858356500.0,7.1595984,6.2775245,8.111173,57630782.0,0.034698192870219,0.2,-0.5,94100.70687830688,350.0,1422802688.0,0.0001788945196956,0.0337068245221465,0.2,-0.51,97689.422844736,350.0,1666,16124.4,0.0933616,0.0,13754.4,0.068831,0.0,10651.4,0.0699399,0.0,0.0
8,1588726900.0,1482722600.0,1697908700.0,4.9662113,4.375383,5.579913,57630782.0,0.0251608877004662,0.2,-0.1,28656.690331890284,0.0,1588726912.0,0.0001788945196956,0.0251195904330425,0.2,-0.09,27853.984906885005,0.0,2965,21893.4,0.0678715,0.0,18555.5,0.0434095,0.0,14838.5,0.047269,0.0,0.0
11,1416652800.0,1330225400.0,1504607100.0,3.7586107,3.3969352,4.138503,57630782.0,0.0293077257483834,0.2,-0.2,34273.38300502386,0.0,1416652800.0,0.0001788945196956,0.0282597110093054,0.2,-0.16,30410.469970893264,0.0,2223,19817.1,0.076975,0.0,16966.2,0.0514138,0.0,13398.0,0.0539442,0.0,0.0
14,412908540.0,378978660.0,447963230.0,8.569131,7.614952,9.577575,57630782.0,0.0195137291342004,0.2,-0.6,39413.63628441276,25.0,412908544.0,0.0001788945196956,0.0190065885585483,0.2,-0.61,41929.98044878143,0.0,5275,7865.47,0.0837643,0.0,6772.47,0.0584655,0.0,5257.5,0.059458,0.0,0.0
18,86651440.0,79533360.0,94285250.0,8.930678,7.1101913,11.247792,57630782.0,0.0198803152613322,0.2,-0.3,2865.457671957668,0.0,86651440.0,0.0001788945196956,0.0175524057469128,0.24,-0.5,64735.61439934683,0.0,5934,4670.1,0.0699957,0.0,4013.98,0.0441736,0.0,3157.36,0.0463839,0.0,0.0
21,33558250.0,30438836.0,36963256.0,12.0060835,8.988194,16.476372,57630782.0,0.018565648451581,0.2,-0.5,2219.4608465608467,0.0,33558248.0,0.0001788945196956,0.0151107034357099,0.25,-0.7,77447.06738154318,0.0,7914,2550.42,0.0752806,0.0,2187.27,0.050096,0.0,1705.18,0.0517339,0.0,0.0
24,16474387.0,14247518.0,18945580.0,28.794476,22.496632,36.2379,57630782.0,0.007105306637825,0.2,-0.9,6537.455158730157,0.0,15436296.0,0.0001788945196956,0.005345877600055,0.24,-1.0,86687.20373983047,25.0,63315,1054.78,0.0874551,0.0,906.034,0.0632243,0.0,693.613,0.0635046,0.0,0.0
27,7202204.5,6039485.0,8489410.0,41.68495,32.753284,52.515106,57630782.0,0.0098663653125654,0.2,-1.0,3166.929781329781,250.0,4615678.0,0.0001788945196956,0.0086058149465568,0.24,-1.1,46026.45569776988,225.0,23742,466.317,0.0894927,0.0,398.095,0.066202,0.0,302.498,0.0664088,0.0,0.0
31,212352.7,170063.45,270492.62,79.023926,42.148514,215.7834,57630782.0,0.028059754781172,0.3,-1.2,10858.502435126593,350.0,89090.7109375,0.0001788945196956,0.0219632623969645,0.5,-1.26,100000.0,450.0,3955,73.4822,0.0901266,0.0,62.974,0.0671194,0.0,47.3844,0.0668677,0.0,0.0
