band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0
2,238621.34,227525.05,250164.66,1.3298607,0.96238965,1.77264,31800.0,0.26,8.0,0.2013615784996145,0.0036042573437461,0.0076105772670922,0.73,8.669246494021435,0.01522590089032061
5,125861.8,119992.66,131988.28,1.392025,0.909872,2.123118,41340.0,0.13,19.0,1.3299171511450193e-12,0.0022629606000763,0.0066754871311422,1.03,18.141328674957588,0.011376139110867212
8,66732.33,63640.67,69916.1,1.3771291,0.96771985,1.9176652,66780.0,1.04,1.2,26844.276142558065,0.0030087029919861,0.0052529256547175,2.4,38.013572885895364,0.005916405754493342
11,36748.125,34953.164,38624.617,1.7273335,1.0428352,3.0285838,104940.0,0.17,13.0,1.365408887637579e-07,0.0011607975416541,0.0041907897336608,6.0,44.14638098264757,0.058689272372836054
14,19290.611,18380.465,20250.715,1.5637116,0.98590016,3.0214248,162180.0,0.35,5.8,2.902545338219175,0.0032339815803291,0.003371320732074,6.0,44.14638098264757,0.1258352000783009
17,10338.449,9839.2705,10859.774,1.6528234,1.0620842,3.0633144,257580.0,0.42,3.9,20.923823654903675,0.0012974103067698,0.0026752851133031,6.0,44.14638098264757,0.18733718683584377
20,4938.3066,4692.6626,5208.717,2.0606022,1.1709815,6.707925,381600.0,0.23,7.7,0.0004482306178873,0.0007548391242012,0.0021980660924352,6.0,44.14638098264757,0.2516391778912558
23,2210.008,2095.9802,2333.3518,2.336577,1.42222,4.876342,610560.0,0.19,8.5,1.5678443349422976e-06,0.0015121494634163,0.0017377962858799,6.0,44.14638098264757,0.31092361650096145
26,871.8909,814.14685,942.1888,5.787819,2.4792078,17.814651,973080.0,0.13,9.3,1.1076311665875226e-12,0.0032877113328748,0.0013765848003003,5.9,44.117060647561416,0.36588694394802157
29,297.93655,265.63385,344.98026,23.688461,6.6877375,80.94592,1376940.0,0.08,10.0,1.9619181793585049e-25,0.0094532006425322,0.0011572531101864,5.8,44.08542322707829,0.41355548809731335
32,25.905695,24.708324,27.137707,1.305109,0.8938685,2.0176268,419760.0,0.14,18.0,1.0775412063246104e-14,0.0011534252296765,0.0020957932105484,5.8,44.08542322707829,0.4664812186234587
