band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0
2,157269.88,149264.11,165654.39,2.0195932,1.4713491,2.7044363,31800.0,0.54,1.8,4881.907869140449,0.0033631365121993,0.0076105772670922,0.93,26.01391898781926,0.008559724726099005
5,83422.35,79257.164,87787.93,1.9039826,1.2757837,2.832162,41340.0,0.19,8.9,4.851825283927845e-05,0.0021744728737904,0.0066754871311422,1.67,53.70876698826916,0.005461730693464784
8,45610.926,43328.332,47969.348,1.937604,1.3123013,2.8375485,66780.0,0.16,11.0,5.4965291341597693e-08,0.0032627935723594,0.0052529256547175,6.0,75.79266909779786,0.04033632713797064
11,25793.922,24441.889,27232.033,2.370253,1.3658774,4.514517,104940.0,0.18,9.7,2.286282472281135e-06,0.0016967878255895,0.0041907897336608,6.0,75.79266909779786,0.09972842574908877
14,14051.502,13346.595,14808.067,2.089291,1.2751459,4.009901,162180.0,0.35,4.6,3.4510521307951945,0.0025441847457668,0.003371320732074,6.0,75.79266909779786,0.16022482660387005
17,7919.1426,7515.9673,8348.544,2.1518784,1.2933547,4.513294,257580.0,0.17,10.0,1.1032415409861961e-07,0.0008863783698672,0.0026752851133031,6.0,75.79266909779786,0.212573388388104
20,4052.6973,3844.8557,4287.259,2.4168644,1.2767596,9.097979,381600.0,0.27,5.7,0.0176979530974321,0.0009719501646495,0.0021980660924352,6.0,75.79266909779786,0.26770366295501147
23,1979.6365,1878.4255,2088.579,2.248149,1.3707936,4.596758,610560.0,0.19,8.7,1.270410110452822e-06,0.0010890144776882,0.0017377962858799,6.0,75.79266909779786,0.31758252721133273
26,868.0049,815.8724,934.2969,4.653831,1.6947181,18.998148,973080.0,0.12,13.0,3.016085652950858e-15,0.0017851501276554,0.0013765848003003,5.9,75.74233051045374,0.3649267790349563
29,329.39447,302.9992,371.57492,13.155254,2.838861,66.09846,1376940.0,0.11,11.0,4.943743261132867e-17,0.0046385123850085,0.0011572531101864,5.9,75.74233051045374,0.407773208517477
32,44.476166,42.376705,46.640842,1.4597125,1.0056723,2.2622225,419760.0,0.63,2.2,2.4844321123515907,0.001633614958824,0.0020957932105484,5.8,75.68801383741256,0.45771234626626384
