band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,0.0191850473674253,0.0153390280310065,0.0241930790893018,77.11108327608102,32.46223113251643,143.3001525841377,98856.0,0.0023446002966035,0.1,1.4,8.714470426200761e-18,50.0,0.01494929279094437,0.00431777366722471,0.002290761911532657,0.11,1.1,1.2062226591389865e-15,50.0,356278
3,0.2902739898785912,0.2509235636317805,0.3334467331492849,28.41966629479426,22.64310486870769,35.21930672558565,110055.0,0.0174486085647194,0.1,-0.5,7.771955139423767e-13,50.0,0.2902739898785912,0.004092280545260718,0.016691401509867802,0.09,-0.4,6.2814204785354554e-15,0.0,6878
5,2.376845967123141,2.199405500444796,2.5598228388182864,6.72983573731997,5.871218980295729,7.655769806506746,1090100.0,0.0108254849256153,0.6,-1.1,2.564494531605489,75.0,2.3768459671231406,0.0013006099139274835,0.007988562572578961,0.7,-1.15,4.334767058711628,0.0,28741
6,1.501561330909322,1.3846703154833448,1.6220583646497817,7.474615288490485,6.587993774815504,8.426250120716949,550640.0,0.0108337073947161,0.5,-1.1,1.0038508905798624,50.0,1.4455452824350015,0.0018298923356427324,0.009675782811628397,0.6,-1.15,1.950408057350459,50.0,19357
8,0.1235896414525106,0.1084673272955137,0.1414582454535254,24.69272645732733,14.516625872377864,44.99367184451458,3568842.0,0.0025114112801521,0.4,-1.0,0.0253272101925532,0.0,0.11480020167258212,0.0007188519079682373,0.0018810046355167698,0.42,-1.0,0.029371442101687583,25.0,501867
9,0.0303229193700752,0.0268993178504166,0.0348461671231129,22.783431725513832,10.848627162769564,68.24527987866472,5354720.0,0.0052119296878206,0.7,-1.1,0.0375373070778045,200.0,0.025979673804696842,0.0005868672726150687,0.004323752372003387,0.6,-1.08,0.027737850821662434,100.0,94125
11,0.0178381690674039,0.0146908735876021,0.0215231076493843,52.05683222100305,33.944059471953985,89.04440353679591,6785573.0,0.0073331707407181,0.1,-0.4,2.3907066972601643e-14,25.0,0.017838169067403986,0.0005213358427224347,0.006649064162584706,0.09,-0.3,1.8862040743996406e-16,0.0,39759
12,0.0078107687595897,0.0061842863392785,0.0098946132188106,81.0765267632453,46.48137384475816,165.2968117843392,22346151.0,0.0095438104135868,0.1,-0.4,7.28652402005935e-15,150.0,0.005143212783845933,0.0002872887853533679,0.007992444849868996,0.08,-0.1,4.981347561456879e-20,125.0,27616
14,0.0004732935650215,0.0003609573448974,0.0007009876084841,175.24980898475422,47.6271029275688,614.202211633434,12581431.0,0.0115017669410319,0.1,0.0,2.3450795052273282e-17,500.0,0.00018334427636407857,0.00038286993539974067,0.00992138414091018,0.08,0.4,8.538693264091681e-23,425.0,18429
16,0.0001175686311213,7.691010975909514e-05,0.0001835070164852,299.6944203076366,109.98311353890472,753.4886327142179,8227229.0,0.016433620088109,0.1,-0.1,4.5605911216291875e-18,500.0,1.580463632875582e-05,0.00047346287942727977,0.01266242991919847,0.09,0.2,8.278070902924801e-21,600.0,12051
