band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,268746194173039.7,244481162528340.62,296733980176657.5,6.709019009252323,2.892513407613905,10.921010931888294,3072.0,0.0063080376692353,0.1,12.0,9.649863491485373e-08,0.0,268746194173039.7,0.024448142518082774,0.0063080376692353,0.1,12.0,9.649863491485373e-08,0.0,44286
5,536126300279723.7,449825981528169.6,632000376624921.5,41.450941320787166,33.77470327205173,49.1847849939361,9216.0,0.0095605851401721,0.1,6.2,1.8294616834622373e-05,100.0,213142162766078.8,0.014128644178820282,0.00927346307211907,0.11,6.5,0.0015584944733143878,125.0,20736
8,81024726553361.3,64541833203080.875,102413563312544.84,79.6520794803518,32.607358788505714,121.64673010943086,26112.0,0.0055028393143988,0.2,8.9,100000.0,0.0,81024726553361.3,0.008398077199156119,0.0055028393143988,0.2,8.9,100000.0,0.0,58752
11,11023422013304.93,8473029933928.201,15599619885257.904,159.6461589983993,14.550794070534296,415.4733119601151,72192.0,0.0030353180749971,0.2,16.0,1251.0767568175131,200.0,7266264133542.451,0.005052285122862665,0.0028620161962479296,0.18,16.0,57.88917817262962,175.0,231274
14,249955571353169.2,225802996817993.9,276069427121945.9,13.192874527601568,10.236112994213237,17.54005218253848,100000.0,0.0282786246376377,0.1,0.1,20.21875661313302,25.0,239828345890843.1,0.004293014618329405,0.027117998854088818,0.12,-0.2,56512.561729872796,25.0,2635
17,387454656843114.8,363130049448554.2,413846827376254.2,4.386029039978016,2.848983658130253,8.83430299878703,100000.0,0.0050545608742426,0.1,7.1,1.056633476218121e-05,0.0,387454656843114.8,0.004293014618329405,0.0050545608742426,0.1,7.1,1.056633476218121e-05,0.0,75000
20,82776272831579.88,76808170985546.22,89377025556202.86,6.7031764169585735,4.33649272170831,12.764983618379851,100000.0,0.0018891136853122,0.1,6.9,2.6782493587010093e-06,50.0,78522529555781.94,0.004293014618329405,0.0018891136853122,0.1,6.9,2.6782493587010093e-06,50.0,506250
23,7691854197036.044,7271829090929.353,8154132985135.926,2.9356306064588633,1.7097972640117656,6.843271512085187,100000.0,0.0005364161503852,0.2,7.6,31173.20724832663,25.0,7521186945522.781,0.004293014618329405,0.0005364161503852,0.2,7.6,31173.20724832663,25.0,6487311
26,3254714997040.671,3037562624455.173,3506742913961.898,5.6527765191258865,3.2584118795593997,15.07196183030267,100000.0,0.0006343875701389,0.1,7.4,6.403947735675666e-08,0.0,3254714997040.671,0.004293014618329405,0.0006343875701389,0.1,7.4,6.403947735675666e-08,0.0,4618404
30,45080710644.99423,41578924227.59538,48957695258.881294,7.918079567365252,5.261426857930633,16.34321031730887,100000.0,0.0024258768406397,0.2,1.1,60709.85596449342,0.0,45080710644.99423,0.004293014618329405,0.0021487152457839165,0.19,1.2,18956.132251864845,0.0,379687
