band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,283272216951497.5,243444357197591.28,332506772557504.75,9.53116445551598,2.694812153661243,15.46667927017551,1536.0,0.0081372203430145,0.1,9.8,5.664004367532132e-07,0.0,283272216951497.5,0.0345421467338566,0.0081372203430145,0.1,9.8,5.664004367532132e-07,0.0,28023
5,527226119294584.3,441282733504183.8,620912958908545.0,38.21521974095758,31.712397972730905,44.75725614940729,4608.0,0.0110653328867984,0.1,8.1,1.872667254627207e-06,75.0,233323803666756.56,0.01997013996929112,0.011000335742357092,0.08,8.1,1.3376161208808535e-12,50.0,15552
8,75405150154984.33,62238496012140.84,92703979750654.8,59.02777273410116,22.55952574541491,111.58062834241191,13056.0,0.0060014718115696,0.2,8.9,100000.0,0.0,75405150154984.33,0.011872896555926072,0.0060014718115696,0.2,8.9,100000.0,0.0,49572
11,11006076049588.053,8295258989543.731,15711456079198.854,171.60685861122934,11.703311407670943,428.2103038058922,36096.0,0.0030463115545676,0.2,15.0,1652.9713412549945,150.0,7231252406824.77,0.007143649230419776,0.002787061120955836,0.18,15.0,79.27911069179063,125.0,231274
14,249909383567753.5,225867281028635.03,275616570559088.47,12.881619429184305,10.170918248526585,16.534708904491097,99840.0,0.0283178055878741,0.1,0.1,20.24814463441356,25.0,240176937086017.72,0.004296451814879759,0.027127616362232182,0.12,-0.2,56594.70290197914,25.0,2632
17,387380286846714.9,363442932505499.0,413861119208993.2,4.352693968870809,2.8467019230830104,8.76646906835416,277248.0,0.0051738573771948,0.1,7.1,1.0564306606720176e-05,0.0,387380286846714.9,0.0025786698111508696,0.0051738573771948,0.1,7.1,1.0564306606720176e-05,0.0,69312
20,82795303596983.36,76796484140315.19,89377477807664.08,6.679419327069088,4.34186223705262,12.376771903185883,769536.0,0.0018610368683823,0.1,6.9,2.67847512940031e-06,50.0,78529148837274.02,0.0015479468139976426,0.0018610368683823,0.1,6.9,2.67847512940031e-06,50.0,547843
23,7693020803365.627,7270886762036.579,8157248274641.582,2.9375843242027795,1.708109561968036,6.831795958706424,2137344.0,0.0005293586634348,0.2,7.6,31176.24084997236,25.0,7521918865241.804,0.0009288757526913304,0.0005293586634348,0.2,7.6,31176.24084997236,25.0,6847222
26,3254223044640.1,3037161785889.8154,3503769213281.3574,5.574509174970014,3.2563591580946047,14.406479694979735,5931264.0,0.0006515677471151,0.1,7.4,6.40297977458972e-08,0.0,3254223044640.1,0.0005576167305598958,0.0006515677471151,0.1,7.4,6.40297977458972e-08,0.0,4448448
30,45077196257.25905,41581471050.96799,48968122619.566765,7.916070750616136,5.253750312335192,16.333639200480658,4459008.0,0.002461287372529,0.2,1.1,60705.12316480695,0.0,45077196257.25905,0.0006431124832111109,0.0021488126533579233,0.19,1.2,18954.65447572203,0.0,418032
