filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
0,4.918291932996653,3.402765332889909,6.778470703935343,14.087732941569255,7.160850937499381,34.707175327383794,7077888.0,dual_color,0.0311260291665138,0.1,1.0,8.494619945829991e-15,200.0,4.374347887163004,0.0005104573154051,0.031125881371534,0.09,1.2,3.141474958555047e-17,100.0,1944,0.94405,0.0690633,0.0,0.80291,0.0452803,0.0,0.618018,0.0468279,0.0,0.0
2,5.834874171651293,3.930149795384063,8.610618889979236,20.367862245940632,9.88076046785946,60.2760310110996,7077888.0,dual_color,0.0224053405997955,0.3,-1.1,0.2776015690752454,200.0,4.782264909901338,0.0005104573154051,0.0207705286866313,0.23,-1.0,0.0173577018314303,150.0,4374,0.552408,0.103343,0.0,0.475279,0.0801,0.0,0.357741,0.0792965,0.0,0.0
3,2.40106956545116,1.665374656985784,3.542345884844863,21.989695369130786,7.956547127814106,102.82828973913578,7077888.0,single_edge,0.0067765215262999,0.2,-0.5,0.0001440288615015,50.0,2.40106956545116,0.0005104573154051,0.0066275267220378,0.16,-0.3,1.3799214720604084e-06,0.0,41472,0.620522,0.067929,0.0,0.547998,0.041337,0.0,0.428768,0.0396337,0.0,1.8346162999999996e-270
4,8.374048642240977,6.064170857030362,10.875552682515668,12.093865967071068,7.784487644045603,19.337828100494885,7077888.0,dual_color,0.0226773540581489,0.4,-1.2,3.417790808723383,200.0,7.488519719023832,0.0005104573154051,0.0221991635236609,0.3,-1.13,0.5337540404569583,125.0,3888,0.686535,0.109452,0.0,0.583379,0.0869068,0.0,0.438585,0.0864987,0.0,0.0
5,6.427816350520922,4.854648279062974,7.95169190605188,7.636214469363786,4.954015217990537,14.9572603349786,7077888.0,dual_color,0.0210525580715884,0.2,-0.3,0.0002037892562562,50.0,6.162587109190497,0.0005104573154051,0.0207860794059452,0.16,0.0,1.1894981810556688e-06,50.0,4374,1.17829,0.0741941,0.0,1.01636,0.0481305,0.0,0.799509,0.0498949,0.0,0.0
6,2.961974639804508,2.211629845011596,3.8533472666477024,10.482829579935776,4.624698851281762,35.951347179863546,7077888.0,single_edge,0.0215246607644217,0.2,-0.3,8.861147484642438e-05,100.0,2.729074264579624,0.0005104573154051,0.0215233594107586,0.2,-0.31,9.321811979288656e-05,75.0,3888,0.811228,0.0720267,0.0,0.698255,0.0461504,0.0,0.549398,0.0481381,0.0,0.0
7,2.415839165840848,2.0046465353536167,2.878406439258487,2.770391704501419,1.0802534326978768,8.056585493147356,7077888.0,inside_out,0.0208581948121522,4.8,-0.5,4.574629168500747,200.0,2.2499124239116624,0.0005104573154051,0.020846789929118,5.0,-0.52,4.708372146096365,150.0,4374,1.27248,0.0333216,0.0,1.21223,0.0247331,0.0,0.985391,0.0218641,0.0,0.0
8,0.1137901299688227,0.0885814299018256,0.1533051435108252,9.237642466023836,2.53463519346852,61.519855548752126,7077888.0,misc,0.0184404740299407,0.1,9.4,2.7527003254414675e-22,200.0,0.0985586432520587,0.0005104573154051,0.0184391016181394,0.1,9.2,3.329567887571141e-22,175.0,5184,0.253467,0.0327601,0.0,0.237188,0.0242559,0.0,0.196413,0.018898,0.0,0.0
9,0.8692336019763194,0.5492420357809884,1.4630151265800606,30.971349961759763,8.339681766086548,139.17687863191549,7077888.0,multi_edge,0.0042381005714691,0.2,-0.4,3.521787032187948e-05,50.0,0.8692336019763194,0.0005104573154051,0.0020410159577042,0.2,-0.47,5.147180723204232e-05,0.0,442368,0.394131,0.062343,0.0,0.34403,0.0361394,0.0,0.269018,0.0367456,0.0,4.9019333e-26
10,2.687340864571985,1.97112824898202,3.731073904806353,14.071039868022744,5.992348961684193,79.20588042959251,7077888.0,single_edge,0.0165279938808087,0.3,-0.7,0.0278413565020086,200.0,2.339254062743554,0.0005104573154051,0.0165262347569843,0.24,-0.6,0.0024272228013796,125.0,6912,0.71584,0.072138,0.0,0.626051,0.0455728,0.0,0.489098,0.0454987,0.0,0.0
11,2.659095144231669,1.9442044015448536,3.671039173851748,14.18659240033437,6.447573854861946,38.287141347669404,7077888.0,single_edge,0.0160619344710506,0.2,-0.4,0.0001008402292046,200.0,2.262812627681209,0.0005104573154051,0.0157442693307431,0.2,-0.42,0.0001120562283012,150.0,7776,0.661882,0.0754609,0.0,0.576761,0.0491572,0.0,0.450969,0.0494343,0.0,0.0
12,2.1701547744110403,1.4924048910919712,3.1861506169523017,17.917737721617065,6.749938686670595,103.4119922348941,7077888.0,single_edge,0.0151671804465551,0.1,1.1,2.9846383088972267e-15,50.0,1.847909168826888,0.0005104573154051,0.0151178680700724,0.1,1.2,2.003385370260569e-15,125.0,7776,0.652755,0.0654061,0.0,0.575029,0.0388976,0.0,0.448086,0.0376989,0.0,0.0
13,2.5815285196307736,1.7988983343252176,3.551562458247654,15.615009390461871,6.929747171282883,52.77278343738996,7077888.0,single_edge,0.0132411112360604,0.1,0.8,1.1027365582296963e-14,0.0,2.459075457524021,0.0005104573154051,0.0132068703190417,0.1,0.8,1.0504289942320689e-14,25.0,10368,0.690838,0.0687883,0.0,0.608445,0.0418717,0.0,0.478188,0.0406443,0.0,0.0
14,3.2074910990243555,2.359756182230046,4.408733890640288,15.833215047407062,7.001227026271901,51.41084279371539,7077888.0,single_edge,0.0121726487308557,0.2,-0.5,0.0001957868481374,50.0,3.2074910990243555,0.0005104573154051,0.0101894077335117,0.21,-0.6,0.0006240709110299,0.0,17496,0.712087,0.0748515,0.0,0.623078,0.0485551,0.0,0.484786,0.0483834,0.0,0.0
15,4.690050154950764,4.112546297006193,5.387555654558624,1.0636953183820586,0.276539583485599,3.160929930376651,7077888.0,inside_out,0.0145434133249114,1.9,-0.2,6.782042455539765,0.0,4.690050154950764,0.0005104573154051,0.0145168562749535,1.91,-0.2,6.800919517824326,0.0,8748,1.92172,0.0287903,0.0,1.75988,0.0205966,0.0,1.38537,0.021947,0.0,0.0
