band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,258505000.0,158928370.0,407882050.0,356.08157,99.1333,600.4443,45000.0
5,152978510.0,86311510.0,311299740.0,813.59064,103.77999,2060.548,117000.0
8,51216776.0,30030232.0,95833080.0,612.8061,92.325806,1727.8018,189000.0
11,30906166.0,12614540.0,127853150.0,5769.239,83.0579,6259.8403,495000.0
14,10556804.0,5359151.0,34582852.0,2610.0828,75.71078,4860.0464,1134000.0
17,6451851.0,2578067.5,33936850.0,11181.922,65.416466,7685.5044,2574000.0
20,3491903.0,1486022.9,17120646.0,6724.6265,70.291565,6708.6846,5967000.0
23,1724653.2,591100.3,11486877.0,16738.59,63.702858,8285.558,13887000.0
26,1045735.8,169787.45,10570935.0,32596.104,71.61246,9318.733,31968000.0
29,111884.68,21236.27,904638.9,26453.193,91.602455,9072.577,73701000.0
32,4155.7266,2176.4397,11599.141,1816.9076,91.58009,3932.401,59634000.0
