band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,227143845455815.7,202785173839593.5,256047077985932.56,3.96527376776866,1.2317271989499703,7.327936092499685,1440.0,0.012837553318853556,0.1,14.0,2.1350029923481517e-08,0.0,227143845455815.72,0.03567116747608868
5,320243564988359.4,275093881439731.4,370844466533634.3,31.325668515140705,22.37214046490481,39.61361071196832,14400.0,0.007294213841864252,0.1,9.2,5.810484933545369e-07,150.0,171996346380104.9,0.011305846896468966
8,59707696378885.38,50110221875768.19,73092476692237.08,52.52734031600722,16.251142890093156,111.35571926802965,27360.0,0.004317935773627509,0.2,13.0,17095.811079050152,150.0,39199426671722.016,0.008204451759313478
11,7168031769071.915,6801108552660.666,7564388087877.249,2.225218500038744,1.1792328807600605,3.876113137605065,56160.0,0.0014182913777001649,0.2,20.0,434.8308575405864,75.0,6842421489844.42,0.005727856644934677
14,91314334616205.48,77366544759730.84,107372977499108.0,38.347096636782425,27.329721660251465,56.43798622265722,112320.0,0.014873759905258077,0.1,0.7,0.28895657262381913,500.0,46506154980747.164,0.004050824017412075
17,454890187316740.5,428870685359299.9,482678584082943.0,3.298423486611102,2.267161111739567,6.351302694866449,901440.0,0.007442207542789375,0.1,7.8,5.8849987908229895e-06,0.0,454890187316740.44,0.0014302327594031751
20,30974890307465.727,29071491552765.133,33093742156186.297,4.2751737800201735,2.5334132329934747,8.97891932396198,1802880.0,0.0008532473199824864,0.1,12.0,1.0820071448016552e-08,25.0,30133618210253.277,0.0010113656230693639
23,5116659213028.553,4807442446371.827,5484488615317.15,4.30005417315553,2.149968125133445,14.01944791936234,14423040.0,0.0009241202008515303,0.1,14.0,4.682448317946392e-10,25.0,4981676001852.749,0.0003575928886806848
26,676759847268.3569,621238423493.9674,767305700812.7635,14.187112849904455,3.894301808211088,66.86788734201481,7211520.0,0.0011792137235289504,0.1,7.5,1.1384721451456555e-08,25.0,643624820028.5615,0.0005057059408510994
30,55637160689.12362,51115025362.59529,60951842233.89223,9.523878442054375,5.739445167646694,23.51622570871224,14423040.0,0.0026209410447654014,0.1,4.3,5.944622069222618e-08,25.0,53497027038.34793,0.0003575928886806848
