band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,310058819736347.6,273025964579104.56,351879830474855.75,5.096017477288921,3.120138001817797,7.454061329093763,1440.0,0.009993285738677082,0.1,8.3,2.4317099267188364e-06,0.0,310058819736347.56,0.03567116747608868
5,843883837504393.2,737360761649175.6,960777024390372.8,21.024885709271032,16.639383251504942,25.73803818498681,4320.0,0.01338969098799031,0.1,3.1,0.0046135678115589865,50.0,489672549223759.7,0.020623821110128046
8,181586562468395.3,155810044690528.66,210576391052846.7,32.234704755324245,20.658370758314103,44.014119271471,12240.0,0.011626106934996966,0.1,6.4,5.150500842817058e-06,200.0,84361072481422.08,0.0122618370593477
11,13306701323793.88,10863409793577.03,17597784582239.105,95.31702059189637,14.062968453218602,284.3460214995268,33840.0,0.003659600326194945,0.2,9.2,17265.818580123523,150.0,9077091915965.826,0.007377771632076051
14,209999593847065.4,185723293147494.84,237144202442054.84,20.76481205127884,14.979909352173886,29.850138098035774,93600.0,0.021685772994002768,0.1,-0.1,45.97259421015792,50.0,190859210724167.62,0.004437299556044136
17,396778780470879.4,372037677861035.6,423593419233817.75,4.373246433147908,2.9859593474492363,7.276849719902422,259920.0,0.008516775945470734,0.1,6.0,3.9601800054707464e-05,0.0,396778780470879.44,0.002663218312332404
20,100948714045925.12,93583329547331.52,109423323884446.31,7.075979433609168,4.153627516498804,17.387717739673064,721440.0,0.0017193793805559965,0.1,6.8,3.7265033992237768e-06,25.0,97507930169411.45,0.001598705247273362
23,10927217044749.717,10280870494996.969,11656467197483.049,3.947840319443959,2.2643302515241244,9.31480400748989,2003760.0,0.0009180887169125355,0.1,14.0,9.854615925100302e-10,50.0,10484366367353.494,0.0009593361084363511
26,1914125554842.1267,1799325935651.256,2043746926174.952,4.034940390843896,2.3767767696333832,10.521573543726875,5560560.0,0.0004842396890602091,0.1,10.0,3.23255942778778e-09,0.0,1914125554842.1267,0.0005759031306141694
30,24335168310.46502,22454781119.515198,26404443610.178688,7.7825194835519635,5.239422507558172,15.413767872573116,4180320.0,0.0020392106844596414,0.1,4.8,1.2092384294729194e-08,25.0,23529432219.282402,0.0006642024497160474
